paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,score_scale,condition_name,element_name,is_interaction,participant_per_element,totalSP,totalINV,totalREAL,totalGP,totalTOTAL,meanSP,meanINV,meanREAL,meanGP,meanTOTAL,sdSP,sdINV,sdREAL,sdGP,sdTOTAL,otherSP,otherINV,otherREAL,otherGP,otherTOTAL,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display,likert_scale,rating_scale,file,standard_total_17
81,83,83,Towards lean and elegant self-motion simulation in virtual reality,Vection; self-motion illusion; spatial orientation; virtual reality; motion simulation; human factors; psychophysics; multi-modal cue integration; vibrations; auditory cues,53,,,,,,,Projection Display,Surround sound,Social Science and psychology,,Not Mentioned,Not Sure,,,3,Study 2,,22,,,,,,,between-subject,each component,/Mean/SD/,Chart,Unknown,No,TTest,,,2,17,Whole Experiment,Whole Study,No,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,BE Riecke; J Schulte-Pelkum…,2005,… . VR 2005. Virtual …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/1492765/,https://scholar.google.com/scholar?cites=3287997044791535940&as_sdt=2005&sciodt=0;5&hl=en,48,43627,,,,,,,,,79,5.64,26,3,,YES,Vection,,10.15,0.725,TRUE,1.875,4.46,1.92,1.16,0.375,1.115,0.48,1.16,Projection Display,7-point,Good,Each Study,66.15
81,84,84,Towards lean and elegant self-motion simulation in virtual reality,Vection; self-motion illusion; spatial orientation; virtual reality; motion simulation; human factors; psychophysics; multi-modal cue integration; vibrations; auditory cues,53,,,,,,,Projection Display,Surround sound,Social Science and psychology,,Not Mentioned,Not Sure,,,3,Study 3,,19,,,,,,,within-subject,each component,/Mean/SD/,Chart,Unknown,No,TTest,,,2,17,Whole Experiment,Whole Study,No,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,BE Riecke; J Schulte-Pelkum…,2005,… . VR 2005. Virtual …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/1492765/,https://scholar.google.com/scholar?cites=3287997044791535940&as_sdt=2005&sciodt=0;5&hl=en,48,43627,,,,,,,,,79,5.64,26,3,,YES,Vection,,1.75,0.125,TRUE,2.55,-0.42,-0.62,0.21,0.51,-0.105,-0.155,0.21,Projection Display,7-point,Fair,Each Study,57.75
82,85,85,An integrative approach to presence and self-motion perception research,Behavioural effectiveness; Cognitive factors; Experimentation; Framework; Higher-level factors; Human factors; Human-computer interfaces; Immersion; Perception-action loop; Perceptual effectiveness; Perceptually- Oriented Ego-Motion Simulation; Presence; Self-motion illusion; Self-Motion Simulation; Spatial Presence; Vection; Virtual environments; Virtual reality,10,,,,,,,Projection Display,Unknown,Social Science and psychology,Vection,Not Mentioned,Not Sure,,,1,Study 1,,10,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Chart,Unknown,No,ANOVA;Correlation analyses,,,2,17,Whole Experiment,Whole Study,No,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,BE Riecke; J Schulte-Pelkum,2015,Immersed in Media,Springer,https://link.springer.com/chapter/10.1007/978-3-319-10190-3_9,https://scholar.google.com/scholar?cites=2524084476276244435&as_sdt=2005&sciodt=0;5&hl=en,112,43628,,,,,,,,,12,3,6,2,4,NO,,,10.15,0.725,FALSE,911,911,911,911,911,911,911,911,Projection Display,7-point,Good,Each Study,66.15
83,86,86,Is it possible to use highly realistic virtual reality in the elderly? A feasibility study with image-based rendering,memory; elderly; virtual reality; image-based rendering; immersive environment; reminiscence therapy,18,11,7,,,68.2,7.8,Projection Display,Surround sound,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,18,,,,,,,within-subject,whole questionnaire,TotalScore//SD/,Other,After,No,Wilcoxon non-parametric test,,,2,6,Whole Experiment,Whole Study,No,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,M Benoit; R Guerchouche; PD Petit…,2015,Neuropsychiatric …,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4357614/,https://scholar.google.com/scholar?cites=14604566892909520619&as_sdt=2005&sciodt=0;5&hl=en,154,43627,HTML,,,,,,,,26,6.5,7,4,,YES,Memory,,-0.75,-0.05357143,FALSE,911,911,911,911,911,911,911,911,Projection Display,7-point,Fair,Each Study,55.25
84,87,87,Auditory-visual virtual reality as a diagnostic and therapeutic tool for cynophobia,,10,6,4,23,48,33,7.8,Projection Display,Stereo sound,Healthcare and clinical therapies;Social Science and psychology,Cynophobia,Not Mentioned,Not Sure,,,1,Study 1,,10,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,Correlation test,,,2,6,Whole Experiment,Whole Study,No,10,,,,,43.5,,,,,,,,,,17.6,,,,,,19,C Suied; G Drettakis; O Warusfel…,2013,… ; Behavior; and Social …,liebertpub.com,https://www.liebertpub.com/doi/abs/10.1089/cyber.2012.1568,https://scholar.google.com/scholar?cites=13168736431807544348&as_sdt=2005&sciodt=0;5&hl=en,181,43627,,,,,,,,,19,3.17,5,4,,YES,Cynophobia,,1.5,0.10714285,FALSE,911,911,911,911,911,911,911,911,Projection Display,7-point,Fair,Each Study,57.5
85,88,88,PanoVC: Pervasive telepresence using mobile phones,telepresence; mobile computing; panorama; presence; pervasive computing; user study; immersive communication; mobile phones,17,12,5,19,49,,,3D Graphics - Monoscopic,Unknown,Design and visualization;Interaction techniques;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,17,17,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,A Wilcoxon Signed Rank Test,,,2,17,Whole Experiment,Whole Study,No,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,J Müller; T Langlotz…,2016,2016 IEEE International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7456508/,https://scholar.google.com/scholar?cites=16623661450788839733&as_sdt=2005&sciodt=0;5&hl=en,220,43627,,,,,,,,,15,5,5,3,,YES,Telepresence,,6.454,0.461,FALSE,911,911,911,911,911,911,911,911,3D Graphics - Monoscopic,7-point,Fair,Each Study,62.454
86,89,89,Auditory–visual aversive stimuli modulate the conscious experience of fear,Multisensory integration; emotion; fear; cynophobia; virtual reality; VRET,22,,12,,,37.09,13.78,Projection Display,Stereo sound,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,19,,,,,32.50/40.92,12.06/14.44,between-subject,whole questionnaire,/Mean/SD/,Other,After,No,Mann–Whitney test,,,2,6,Whole Experiment,Whole Study,No,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,M Taffou; R Guerchouche; G Drettakis…,2013,Multisensory Research,Brill,https://pdfs.semanticscholar.org/b347/85a46048dbbb47fa5b14b845915ba694f7a4.pdf,https://scholar.google.com/scholar?cites=12147950613198127841&as_sdt=2005&sciodt=0;5&hl=en,296,43627,CITATION,,,,,,,,9,1.5,2,4,,YES,Fear,,3.8949997,0.27821428,FALSE,911,911,911,911,911,911,911,911,Projection Display,7-point,Fair,Each Study,59.8949997
87,90,90,Preliminary findings on the Virtual Environment for Radiotherapy Training (VERT) system: simulator sickness and presence,VERT; SSQ; sickness; presence; radiotherapy,75,,,,,28.3,11.8,Projection Display,Unknown,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,67.9,75,,,,,,,within-subject,each component,/Mean//,Chart,After,No,Spearman’s correlation,,,2,6,Whole Experiment,Whole Study,No,75,,,,,,3.4,2.8,2.6,4.25,,,,,,,,,,,,9,DM Flinton; N White,2009,Journal of Radiotherapy in Practice,cambridge.org,https://www.cambridge.org/core/journals/journal-of-radiotherapy-in-practice/article/preliminary-findings-on-the-virtual-environment-for-radiotherapy-training-vert-system-simulator-sickness-and-presence/3E22777C5B4B3CB520314E3D82E30F3F,https://scholar.google.com/scholar?cites=7889578849703016578&as_sdt=2005&sciodt=0;5&hl=en,302,43627,,,,,,,,,9,0.9,5,2,,YES,Radiotherapy Training,,-0.4,-0.028571427,TRUE,2,-0.8,-1.6,1.25,0.4,-0.2,-0.4,1.25,Projection Display,7-point,Fair,Each Study,55.6
88,91,91,Presence-dependent performance differences between virtual simulations and miniature worlds,Presence; Performance; Virtual Environment;  Miniature World; Teleoperation,38,,,,,19.87,,3D Graphics - Monoscopic,Unknown,Design and visualization;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,15,38,,,,,,,within-subject,whole questionnaire,TotalScore//SD/,Other,After,No,Pearson Correlation,,,4,6,Whole Experiment,Whole Study,No,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A Huthmann,2009,Proceedings of the 2009 Spring Simulation …,dl.acm.org,https://dl.acm.org/citation.cfm?id=1655394,https://scholar.google.com/scholar?cites=5382179624404034462&as_sdt=2005&sciodt=0;5&hl=en,358,43627,,,,,,,,,5,0.5,5,1,,YES,Presence,,0.1184,0.008457143,FALSE,911,911,911,911,911,911,911,911,3D Graphics - Monoscopic,7-point,Fair,Each Study,56.1184
89,92,92,Cultivating imagination: development and pilot test of a therapeutic use of an immersive virtual reality CAVE,,9,,,,,,,Projection Display,Surround sound,Social Science and psychology,,Not Mentioned,Not Sure,,90,1,Study 1,15,9,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,,,,2,6,Whole Experiment,Whole Study,No,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,PF Brennan; FD Nicolalde; K Ponto…,2013,AMIA Annual …,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3900149/,https://scholar.google.com/scholar?cites=4713791303245109034&as_sdt=2005&sciodt=0;5&hl=en,450,43627,HTML,,,,,,,,2,0.33,1,4,,YES,Imagination,Unknown Scale,-0.02,-0.001428571,TRUE,1.1,0.88,-2,0.17,0.22,0.22,-0.5,0.17,Projection Display,7-point,Fair,Each Study,55.98
90,93,93,Exploring vertical navigation within a virtual environment: a staircase experience,,180,90,90,18,34,22.39,2.17,3D Graphics - Monoscopic,Unknown,Design and visualization;Interaction techniques;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,180,45/45,45/45,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Chi-square analysis,,,2,17,Whole Experiment,Whole Study,No,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,İS Memikoğlu,2012,,dspace.bilkent.edu.tr,http://dspace.bilkent.edu.tr/handle/11693/15845,https://scholar.google.com/scholar?cites=14799894205204665334&as_sdt=2005&sciodt=0;5&hl=en,475,43627,,,,,,,,,2,0.29,2,1,,YES,Navigation,,-0.42,-0.030000001,TRUE,2.9,-1.04,-2.28,1.17,0.58,-0.26,-0.57,1.17,3D Graphics - Monoscopic,7-point,Fair,Each Study,55.58
91,94,94,Live delivery of neurosurgical operating theater experience in virtual reality,Virtual reality; 360-degree camera; stereoscopic VR; neurosurgery,22,17,5,,,39,,3D Graphics - HMD VR,Unknown,Healthcare and clinical therapies;Social Science and psychology,neurosurgery,Not Mentioned,Not Sure,,,1,Study 1,From 5 (some from 10 to 60 min),22,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,,,,2,-33,Whole Experiment,Whole Study,No,22,,,,,,1.2,0.88,0.6,2,,1.07,1.31,1.04,0.81,,,,,,,2,M Salmimaa; J Kimmel; T JFairela…,2018,Journal of the …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/jsid.636,https://scholar.google.com/scholar?cites=10563553625733567521&as_sdt=2005&sciodt=0;5&hl=en,563,43627,,,,,,,,,2,2,1,4,,YES,Neurosurgical,,11.919999,0.85142857,TRUE,6,3.5200002,2.4,2,1.2,0.88000005,0.6,2,3D Graphics - HMD VR,7-point,Good,Each Study,67.919999
92,95,95,Multisensory aversive stimuli differentially modulate negative feelings in near and far space,,21,,14,,,22.95,2.57,Projection Display,Stereo sound,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,21,,5-Sep,,,22.50/23.33,2.12/2.93,between-subject,whole questionnaire,TotalScore//SD/,Other,After,No,Mann–Whitney U tests,,,2,6,Whole Experiment,Whole Study,No,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M Taffou; J Ondřej; C O'Sullivan; O Warusfel…,2017,Psychological …,Springer,https://link.springer.com/article/10.1007/s00426-016-0774-1,https://scholar.google.com/scholar?cites=4634461525946500395&as_sdt=2005&sciodt=0;5&hl=en,500,43627,HTML,,,,,,,,1,0.5,0,5,,YES,Multisensory,,4.735,0.33821428,FALSE,911,911,911,911,911,911,911,911,Projection Display,7-point,Fair,Each Study,60.735
93,96,96,Understanding interactive experiences: Perceived interactivity and presence with and without other avatars in the online virtual world Second Life,Interactivity; Presence; Virtual World; New Media; Communication Technology,150,67,83,18,25,,,3D Graphics - Monoscopic,Unknown,Interaction techniques;Social Science and psychology,,Not Mentioned,Not Sure,,15,1,Study 1,,150,,,,,,,between-subject,whole questionnaire,/Mean/SD/,Other,After,No,ANOVA,,,4,6,Whole Experiment,Whole Study,No,150,,,,,,,,,,2.5,,,,,0.08,,,,,,1,JL Robinette,2011,,uknowledge.uky.edu,https://uknowledge.uky.edu/cgi/viewcontent.cgi?article=1153&context=gradschool_diss,https://scholar.google.com/scholar?cites=7262342920727741591&as_sdt=2005&sciodt=0;5&hl=en,541,43627,PDF,,,,,,,,1,0.13,1,1,,YES,Experience,,-7,-0.5,FALSE,911,911,911,911,911,911,911,911,3D Graphics - Monoscopic,7-point,Poor,Each Study,49
94,97,97,The Design and Implementation of a Virtual Reality Exposure Therapy System for Patients Suffer from Paranoia,Paranoia;prolonged  exposure;virtual  reality  exposure  therapy;  mental  health computing,48,,,,,,,3D Graphics - HMD VR,Stereo sound,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,2,Study 1,,24,16,8,23,33,27.83,2.76,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,TTest;Shapiro-Wilk test,,,2,6,Whole Experiment,Whole Study,No,24,,,,,43.08,,,,,,,,,,11.8,,,,,,1,RG Isnanda,2013,,repository.tudelft.nl,https://repository.tudelft.nl/islandora/object/uuid:aec34e9d-a436-4631-b7ff-5563a99b73c0,https://scholar.google.com/scholar?cites=8214223535903606819&as_sdt=2005&sciodt=0;5&hl=en,567,43627,,,,,,,,,1,0.17,1,1,,YES,Exposure Therapy,Unknown Scale,1.08,0.07714286,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,57.08
94,98,98,The Design and Implementation of a Virtual Reality Exposure Therapy System for Patients Suffer from Paranoia,Paranoia;prolonged  exposure;virtual  reality  exposure  therapy;  mental  health computing,48,,,,,,,3D Graphics - HMD VR,Stereo sound,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,2,Study 2,at least 20 minutes,24,21,3,21,42,28.42,4.83,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,TTest;Shapiro-Wilk test,,,2,6,Whole Experiment,Whole Study,No,24,,,,,49.38,,,,,,,,,,11.83,,,,,,1,RG Isnanda,2013,,repository.tudelft.nl,https://repository.tudelft.nl/islandora/object/uuid:aec34e9d-a436-4631-b7ff-5563a99b73c0,https://scholar.google.com/scholar?cites=8214223535903606819&as_sdt=2005&sciodt=0;5&hl=en,567,43627,,,,,,,,,1,0.17,1,1,,YES,Exposure Therapy,Unknown Scale,7.3799996,0.5271429,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Good,Each Study,63.3799996
95,99,99,Human BDNF rs6265 polymorphism as a mediator for the generalization of contextual anxiety,BDNF; conditioned anxiety; context conditioning; generalization processes; startle response,65,32,33,,,28.7,8.01,3D Graphics - HMD VR,Unknown,Healthcare and clinical therapies;Social Science and psychology,,German,Not Sure,,,1,Study 1,,65,17/15,15/18,,,,,between-subject,whole questionnaire,/Mean/SD/,Other,Unknown,No,ANOVA,,,2,-33,Whole Experiment,Whole Study,No,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M Andreatta; D Neueder; H Genheimer…,2019,Journal of …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/jnr.24345,,763,43627,,,,,,,,,0,0,0,4,,YES,Anxiety,Unknown Scale,-1.425,-0.10178571,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,54.575
96,100,100,Hand gesture-based interaction in an immersive cinematic environment,,32,16,16,19,42,26.97,6.32,3D Graphics - HMD VR,Stereo sound,Design and visualization;Interaction techniques;Social Science and psychology,,Not Mentioned,Not Sure,,40,1,Study 1,,32,,,,,,,within-subject,whole questionnaire,/Mean//Other,Chart,After,No,ANOVA,,,4,17,Whole Experiment,Whole Study,No,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H Khan,2017,,ir.canterbury.ac.nz,https://ir.canterbury.ac.nz/handle/10092/13686,,810,43627,,,,,,,,,0,0,0,1,,YES,Hand Gesture,,-2.345,-0.1675,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,53.655
97,101,101,The effects of augmented virtuality on presence; workload; and input performance,,21,,,19,25,,,3D Graphics - HMD VR,Stereo sound,Social Science and psychology;Other,,Not Mentioned,Not Sure,,,1,Study 1,,21,,,,,,,between-subject,each component,/Mean/SD/,Other,Unknown,No,Mann-Whitney U test,,,2,6,Whole Experiment,Whole Study,No,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,J Clarkson,2018,,open.uct.ac.za,https://open.uct.ac.za/handle/11427/29492,,831,43627,,,,,,,,,0,0,0,1,,YES,Augmented Virtuality,,11.955,0.8539285,TRUE,9.375,3.2999997,-0.72,2.075,1.875,0.8249999,-0.18,2.075,3D Graphics - HMD VR,7-point,Good,Each Study,67.955
98,102,102,Virtual Conversation: Automated free speech dialogue with a computer character,,26,,,,,,,Projection Display,Stereo sound,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Yes,,1.5,2,Study 1,,24,17,7,17,66,32.6,13.4,within-subject,each component,/Mean/SD/,Other,After,No,MANOVA,,,2,6,Whole Experiment,Whole Study,No,24,,,,,,3.4,3.28,2.51,3.46,,1.14,1.52,1.13,1.44,,,,,,,0,N Ter Heijden,2011,,repository.tudelft.nl,https://repository.tudelft.nl/islandora/object/uuid:f139cd09-1db6-439c-941a-f9a66dd9df6b/,,856,43627,,,,,,,,,0,0,0,1,,YES,Virtual Conversation,,1.16,0.08285714,TRUE,2,1.12,-1.96,0.46,0.4,0.28,-0.49,0.46,Projection Display,7-point,Fair,Each Study,57.16
98,103,103,Virtual Conversation: Automated free speech dialogue with a computer character,,26,,,,,,,Projection Display,Stereo sound,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Yes,,1.5,2,Study 2,,2,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,6,Whole Experiment,Whole Study,No,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N Ter Heijden,2011,,repository.tudelft.nl,https://repository.tudelft.nl/islandora/object/uuid:f139cd09-1db6-439c-941a-f9a66dd9df6b/,,856,43627,,,,,,,,,0,0,0,1,,YES,Virtual Conversation,,11.47,0.8192857,TRUE,5.15,4.16,2.16,1.67,1.03,1.04,0.54,1.67,Projection Display,7-point,Good,Each Study,67.47
99,104,104,Driving performance in a power wheelchair simulator,driving skills; driving strategies; presence; virtual reality,29,,,,,,,3D Graphics - Monoscopic,Unknown,Interaction techniques;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,29,7-May,9-Aug,20/25,26/35,,,between-subject,each component,/Mean/SD/,Chart,After,No,,,,2,6,Whole Experiment,Whole Study,No,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,PS Archambault; S Tremblay; S Cachecho…,2012,Disability and …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.3109/17483107.2011.625072,https://scholar.google.com/scholar?cites=12991064995002855261&as_sdt=2005&sciodt=0;5&hl=en,5,43676,,,,,,,,,39,5.57,10,,,YES,Simulator,4 categories 13 questions?,-3.43,-0.245,TRUE,0.25,-2.08,-1.6,0.6,0.05,-0.52,-0.4,0.6,3D Graphics - Monoscopic,7-point,Fair,Each Study,52.57
100,105,105,How body movement influences virtual reality analgesia?,Virtual Reality; pain; cold pressor test; movement; presence; analgesia,30,10,20,18/19,50/24,25.60/20.55,9.26/1.50,3D Graphics - HMD VR,Stereo sound,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,4,30,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Non-parametric statistics; Pearson Correlation Coefficient,,,2,-33,Whole Experiment,Whole Study,No,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,M Czub; J Piskorz,2014,2014 International Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6990185/,https://scholar.google.com/scholar?cites=2292082930132990674&as_sdt=2005&sciodt=0;5&hl=en,7,43676,,,,,,,,,15,3,8,,,YES,Analgesia,Some missing data,-3.095,-0.22107142,TRUE,0.325,-0.42,-3,0.315,0.065,-0.105,-0.75,0.315,3D Graphics - HMD VR,7-point,Fair,Each Study,52.905
101,106,106,Design of an immersive simulator for assisted power wheelchair driving,,9,,,11,38,,,Projection Display,No sound,Design and visualization;Interaction techniques;Social Science and psychology,,Not Mentioned,Not Sure,,20,1,Study 1,,9,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,,,,2,6,Whole Experiment,Whole Study,No,9,,,,,,4.21,3.32,2.42,4.89,3.72,0.51,0.63,0.62,0.6,1.07,,,,,,13,L Devigne; M Babel; F Nouviale…,2017,2017 International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8009379/,https://scholar.google.com/scholar?cites=10980786202114750286&as_sdt=2005&sciodt=0;5&hl=en,9,43676,,,,,,,,,13,6.5,3,,,YES,Simulator,,10.08,0.72,TRUE,6.05,1.28,-2.32,1.89,1.21,0.32,-0.58,1.89,Projection Display,7-point,Good,Each Study,66.08
102,107,107,Guidelines on successfully porting non-immersive games to virtual reality: a case study in minecraft,Virtual reality; user study; video games; emotions; Minecraft,14,10,,18,31,21.07,3.76,3D Graphics - Monoscopic;3D Graphics - HMD VR,Stereo sound,Entertainment and game;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,14,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,Linear mixed model,,,4,17,Whole Experiment,Whole Study,No,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,J Porter III; M Boyer; A Robb,2018,… of the 2018 Annual Symposium on …,dl.acm.org,https://dl.acm.org/citation.cfm?id=3242677,https://scholar.google.com/scholar?cites=3495142269655943602&as_sdt=2005&sciodt=0;5&hl=en,11,43676,,,,,,,,,4,4,1,,,YES,Game Porting,,8.273334,0.5909524,TRUE,6.4666667,2.0533333,-0.24666667,1.6083333,1.2933333,0.5133333,-0.061666667,1.6083333,3D Graphics - Monoscopic,7-point,Good,Each Study,64.273334
103,108,108,Evaluating the effects of realistic communication disruptions in VR training for aerial firefighting,Virtual Reality; Simulation; Radio communications; Emergency services; Aerial firefighting,25,23,2,,,,,Projection Display,Surround sound,Education and training;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,25,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,17,Whole Experiment,Whole Study,No,25,,,,,,5.31,4.6,3.1,5.72,4.5,0.864,1.53,0.51,1.021,0.7,,,,,,1,RMS Clifford; S Hoermann; N Marcadet…,2018,… on Virtual Worlds …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8493423/,https://scholar.google.com/scholar?cites=4691108702291629978&as_sdt=2005&sciodt=0;5&hl=en,15,43676,,,,,,,,,1,1,0,,,Yes,Training,,7,0.5,TRUE,6.55,2.4,-3.6,1.72,1.31,0.6,-0.9,1.72,Projection Display,7-point,Good,Each Study,63
104,109,109,Social influence on route choice in a virtual reality tunnel fire,Fire evacuation; Social influence; Travel paths; Tunnel fire; Virtual reality; Functional analysis; Region of interest analysis,42,18,24,,,24.48,3.43,Projection Display,Surround sound,Education and training;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,42,,,,,25.62/23.33,3.47/3.06,between-subject,whole questionnaire,/Mean/SD/,Other,After,No,TTest,,,2,-33,Whole Experiment,Whole Study,No,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,M Kinateder; E Ronchi; D Gromer; M Müller…,2014,… research part F: traffic …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1369847814000771,https://scholar.google.com/scholar?cites=15045328713210496354&as_sdt=2005&sciodt=0;5&hl=en,76,43676,,,,,,,,,58,11.6,12,5,,YES,Social Influence,Unknown Scale,10.355,0.73964286,FALSE,911,911,911,911,911,911,911,911,Projection Display,7-point,Good,Each Study,66.355
105,110,110,Darkness-enhanced startle responses in ecologically valid environments: a virtual tunnel driving experiment,Startle reflex; Context; Anxiety; Virtual reality,26,,19,19,47,22.31,5.45,3D Graphics - HMD VR,Stereo sound,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,26,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,MANOVA,,,2,-33,Whole Experiment,Whole Study,No,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,A Mühlberger; MJ Wieser; P Pauli,2008,Biological psychology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301051107001500,https://scholar.google.com/scholar?cites=2155145112227060337&as_sdt=2005&sciodt=0;5&hl=en,113,43676,,,,,,,,,53,4.82,18,3,,YES,Anxiety,Unknown Scale,0.19,0.013571428,TRUE,2.15,0.74,-2.7000003,-0.04,0.43,0.185,-0.6750001,-0.04,3D Graphics - HMD VR,7-point,Fair,Each Study,56.19
