paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,score_scale,condition_name,element_name,is_interaction,participant_per_element,totalSP,totalINV,totalREAL,totalGP,totalTOTAL,meanSP,meanINV,meanREAL,meanGP,meanTOTAL,sdSP,sdINV,sdREAL,sdGP,sdTOTAL,otherSP,otherINV,otherREAL,otherGP,otherTOTAL,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display
109,114,271,Social influence on evacuation behavior in real and virtual environments,"virtual reality, fire evacuation, social influence, bystander effect, virtual humans, Virtual agents",75/75,35/41,40/34,,,21.45`4.3,,3D Graphics - HMD VR,Stereo sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,75,15/14/12,10/11/2013,,,21.80/21.76/20.80,4.73/3.69/2.55,between-subject,each component,/Mean/SD/,Other,After,No,,,,2,6,VE,Control group,No,25,,,,,,3.92,3.15,2.28,4.2,,1.03,1.3,1.01,1.41,,,,,,,15,M Kinateder; WH Warren,2016,Frontiers in Robotics and AI,frontiersin.org,https://www.frontiersin.org/articles/10.3389/frobt.2016.00043,https://scholar.google.com/scholar?cites=12932043803460859494&as_sdt=2005&sciodt=0;5&hl=en,128,43676,HTML,,,,,,,,15,5,8,2,,YES,Social Influence,,2.32,0.165714286,TRUE,4.6,0.6,-2.88,1.2,0.92,0.15,-0.72,1.2,3D Graphics - HMD VR
119,127,303,Reaching a higher sense of presence in VR through 3D architectural visualization,"Virtual reality, phobia treatment, presence, 3D visualization",20,,,19,34,,,3D Graphics - HMD VR,Unknown,"Design and visualization,Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,8.5,20,,,,,23.4/24.1,,between-subject,each component,/Mean//,Chart,After,No,Mann-Whitney U Test,,,2,-33,VE,3D,No,10,,,,,,0.94,0.23,-0.05,0.9,,,,,,,,,,,,1,E Sabadi,2008,Delft University of Technology; Media and Knowledge …,mmi.tudelft.nl,http://www.mmi.tudelft.nl/~vrphobia/THESIS_ErvinSabadi.pdf,https://scholar.google.com/scholar?cites=1101007825968562232&as_sdt=2005&sciodt=0;5&hl=en,178,43676,PDF,,,,,,,,1,0.09,1,1,,YES,Visualization,,5.42,0.387142857,TRUE,4.7,0.92,-0.2,0.9,0.94,0.23,-0.05,0.9,3D Graphics - HMD VR
133,141,334,Enhancing User Experience with Olfaction in Virtual Reality,,10,5,5,,,28.3,1.34,3D Graphics - HMD VR,Unknown,"Design and visualization,Entertainment and game,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,10,,,,,,,within-subject,each item,/Mean//,Other,After,No,Mann-Whitney U-Test; Wilcoxon Signed-Rank Test,,,4,17,OdourxGroup,OdourxNO-O,Yes,10,,,,,,,,,,,,,,,,,,,,,0,MH Braun,2019,,openaccess.city.ac.uk,http://openaccess.city.ac.uk/id/eprint/22379,,561,43676,,,,,,,,,0,0,0,1,,YES,Olfaction,,2,0.142857143,TRUE,4.7,-1.2,-2.7,1.2,0.94,-0.3,-0.675,1.2,3D Graphics - HMD VR
71,72,178,Virtual Reality Conferencing,"virtual reality, virtual reality conferencing, virtual collaboration",10,,,,,,,3D Graphics - HMD VR,Unknown,"Interaction techniques,Other",,Not Mentioned,Not Sure,,,1,Study 1,,10,,,,,,,between-subject,each component,/Mean//,Other,After,No,ANOVA,,,2,6,Headset,Without,No,5,,,,,,3.96,3.15,2.75,3.2,,,,,,,,,,,,0,PD Pazour; A Janecek�,2018,2018 IEEE International��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8613638/,,296,43628,,,,,,,,,0,0,0,3,1,YES,Tele-conference,,4.4,0.314285714,TRUE,4.8,0.6,-1,0.2,0.96,0.15,-0.25,0.2,3D Graphics - HMD VR
44,45,116,Effects of personal relevance and simulated darkness on the affective appraisal of a virtual environment,"Affective appraisal, Virtual environment, Fear of darkness, Emotion, Personal relevance",72,0,72,12,32,22.2,2.9,3D Graphics - Monoscopic,Unknown,"Healthcare and clinical therapies,Social Science and psychology",Fear of darkness,Not Mentioned,Not Sure,,,1,Study 1,10,72,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,4,-33,Simulated lightingxFictitious task,DarknessxDaylight,Yes,12,,,,,,0.97,1,-0.1,1,,0.9,0.78,0.88,0.95,,,,,,,3,A Toet; JM Houtkamp; PE Vreugdenhil,2016,PeerJ,peerj.com,https://peerj.com/articles/1743/?utm_source=TrendMD&utm_campaign=PeerJ_TrendMD_1&utm_medium=TrendMD,https://scholar.google.com/scholar?cites=2623486685510651979&as_sdt=2005&sciodt=0;5&hl=en,199,43628,HTML,,,,,,,,3,1,1,3,3,YES,Fear,Unknown Scale,8.45,0.603571429,TRUE,4.85,4,-0.4,1,0.97,1,-0.1,1,3D Graphics - Monoscopic
122,130,312,Effects of simulated darkness on the affective appraisal of a virtual environment,,72,,,17,32,22.2,2.9,3D Graphics - Monoscopic,Stereo sound,"Design and visualization,Social Science and psychology",1,Not Mentioned,Not Sure,,,1,Study 1,10,72,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,MANOVA,,,2,6,Condition,N/D,No,12,,,,,,3.97,4,2.9,4,,0.9,0.78,0.88,0.85,,,,,,,0,A Toet; JM Houtkamp; PE Vreugdenhil,2015,PeerJ PrePrints,peerj.com,https://peerj.com/preprints/1456,,336,43676,,,,,,,,,0,0,0,3,,YES,Simulated darkness,Unknown Scale,8.45,0.603571429,TRUE,4.85,4,-0.4,1,0.97,1,-0.1,1,3D Graphics - Monoscopic
123,131,314,Warning messages to modify safety behavior during crisis situations: A virtual reality study,"Safety behaviour, Warning messages, Virtual reality, Thunderstorm",34,,,,,26.61,9.39,3D Graphics - HMD VR,Unknown,Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,around 10,34,,9-Oct,,,29.86/23.94,12.31/5.04,between-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,6,Group,Intervention,No,17,,,,,,3.99,2.85,2.35,3.94,,1.18,1.22,1.06,1.48,,,,,,,0,H Markwart; J Vitera; S Lemanski; D Kietzmann…,2019,International Journal of …,Elsevier,https://www.sciencedirect.com/science/article/pii/S2212420919302432,,288,43676,,,,,,,,,0,0,0,5,,YES,Behavior,,1.75,0.125,TRUE,4.95,-0.6,-2.6,0.94,0.99,-0.15,-0.65,0.94,3D Graphics - HMD VR
98,103,245,Virtual Conversation: Automated free speech dialogue with a computer character,,26,,,,,,,Projection Display,Stereo sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Yes,,1.5,2,Study 2,,2,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,6,Client,Whole condition,No,2,,,,,,4.03,4.04,3.54,4.67,,0.68,0.91,0.96,1.39,,,,,,,0,N Ter Heijden,2011,,repository.tudelft.nl,https://repository.tudelft.nl/islandora/object/uuid:f139cd09-1db6-439c-941a-f9a66dd9df6b/,,856,43627,,,,,,,,,0,0,0,1,,YES,Virtual Conversation,,11.47,0.819285714,TRUE,5.15,4.16,2.16,1.67,1.03,1.04,0.54,1.67,Projection Display
26,27,61,Poster: Design and evaluation of 3D content with wind output,,12,11,3,21,31,,,3D Graphics - Monoscopic,Unknown,Interaction techniques,,Not Mentioned,Not Sure,,,1,Study 1,15,12,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,"ANOVA,TTest",,,2,17,Visual Output Type,Fixed,No,12,,,,,,5.04,5.08,3.9,5.5,,,,,0.29,,,,,,,11,A Lehmann; C Geiger; B Woldecke�,2009,2009 IEEE Symposium��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4811231/,https://scholar.google.com/scholar?cites=18289119672183896209&as_sdt=2005&sciodt=0;5&hl=en,16,43628,,,,,,,,,11,1.1,3,4,10,YES,,CORRECTED: Overall Presence to GP (Confused Presence),9.12,0.651428571,TRUE,5.2,4.32,-0.4,1.5,1.04,1.08,-0.1,1.5,3D Graphics - Monoscopic
130,138,328,Public speaking anxiety decreases within repeated virtual reality training sessions,,19,10,9,18,76,35.47,15.46,3D Graphics - HMD VR,Unknown,"Education and training,Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,60,1,Study 1,,19,,,,,,,within-subject,each component,TotalScore//SD/,Other,After,No,Skew Kurtosis Analysis,,,2,6,Whole Experiment,Whole Study,No,19,20.26,16.63,10,4.68,46.89,,,,,,6.17,5.15,3.01,1.46,11.38,,,,,,0,M Takac; J Collett; KJ Blom; R Conduit; I Rehm…,2019,PloS one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0216288,,445,43676,HTML,,,,,,,,0,0,0,6,,YES,Anxiety,,4.89,0.349285714,TRUE,5.26,4.63,-2,1.68,1.052,1.1575,-0.5,1.68,3D Graphics - HMD VR
80,81,200,Applicability of synthetic environments for product design,"synthetic environment, product design, dynamic prototyping, industrial design, validation",16,9,7,19,30,24,,Projection Display,Unknown,Design and visualization,,Not Mentioned,Not Sure,,,1,Study 1,20,16,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,MANOVA,,,2,6,Environment,SE,No,16,,,,,,4.08,4.31,3.46,,3.95,0.21,0.21,0.21,,0.21,,,,,,0,H Wang; F Meijer; J Miedema�,2008,Proceedings of the 7th��,ris.utwente.nl,https://ris.utwente.nl/ws/portalfiles/portal/5403453/Wang08-Applicability_of_synthetic_environments_for_product_design.pdf,,265,43628,PDF,,,,,,,,0,0,0,4,11,YES,Synthetic Environment,,13.3,0.95,TRUE,5.4,5.24,1.84,0.82,1.08,1.31,0.46,0.82,Projection Display
40,41,101,Self-transforming controllers for virtual reality first person shooters,"Virtual reality controller, shape-changing interfaces, authentic input device, first-person shooter",29,22,7,19,64,26.14,8.56,3D Graphics - HMD VR,Unknown,Interaction techniques,,Not Mentioned,Not Sure,,,1,Study 1,4,29,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,2,6,Controller,Self-transforming,No,29,,,,,,4.12,4.18,2.67,4.48,,0.67,1.22,1.01,1.02,,,,,,,4,A Krekhov; K Emmerich; P Bergmann�,2017,Proceedings of the��,dl.acm.org,https://dl.acm.org/citation.cfm?id=3116615,https://scholar.google.com/scholar?cites=144676039135128325&as_sdt=2005&sciodt=0;5&hl=en,193,43628,,,,,,,,,4,2,1,4,2,YES,Controller,,9,0.642857143,TRUE,5.6,4.72,-1.32,1.48,1.12,1.18,-0.33,1.48,3D Graphics - HMD VR
109,114,273,Social influence on evacuation behavior in real and virtual environments,"virtual reality, fire evacuation, social influence, bystander effect, virtual humans, Virtual agents",75/75,35/41,40/34,,,21.45`4.3,,3D Graphics - HMD VR,Stereo sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,75,15/14/12,10/11/2013,,,21.80/21.76/20.80,4.73/3.69/2.55,between-subject,each component,/Mean/SD/,Other,After,No,,,,2,6,VE,Passive bystander,No,25,,,,,,4.12,3.12,2.71,3.96,,1.01,1.09,1,1.77,,,,,,,15,M Kinateder; WH Warren,2016,Frontiers in Robotics and AI,frontiersin.org,https://www.frontiersin.org/articles/10.3389/frobt.2016.00043,https://scholar.google.com/scholar?cites=12932043803460859494&as_sdt=2005&sciodt=0;5&hl=en,128,43676,HTML,,,,,,,,15,5,8,2,,YES,Social Influence,,4.92,0.351428571,TRUE,5.6,0.48,-1.16,0.96,1.12,0.12,-0.29,0.96,3D Graphics - HMD VR
72,73,181,Haptic contact in immersive 360° cinematic environment,,32,21,11,18,36,26.25,,3D Graphics - HMD VR,Unknown,"Design and visualization,Other",Haptic,Not Mentioned,Not Sure,,,1,Study 1,,32,,,,,,,within-subject,each component,TotalScore//SD/,Other,After,No,ANOVA,,,2,6,Condition,HMD+NW,No,32,20.69,15.06,11.68,,51.63,,,,,,4.91,3.88,3.51,,10.29,,,,,,0,P Sasikumar,2018,,ir.canterbury.ac.nz,https://ir.canterbury.ac.nz/handle/10092/15156,,299,43628,,,,,,,,,0,0,0,1,1,YES,Haptic,,9.63,0.687857143,TRUE,5.69,3.06,-0.32,1.2,1.138,0.765,-0.08,1.2,3D Graphics - HMD VR
51,52,130,"How deep is your SNARC? Interactions between numerical magnitude, response hands, and reachability in peripersonal space","SNARC effect, theory of magnitude, embodied numerical cognition, virtual reality, motion capture",32,9-Jun,7-Oct,19/19,30/29,22.3/22.0,2.8/2.8,3D Graphics - HMD VR,Unknown,"Education and training,Social Science and psychology",,Not Mentioned,Not Sure,,90-120,1,Study 1,,32,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,"TTest,Pearson correlation ",,,2,6,Whole Experiment,Whole Study,No,32,,,,,,4.18,2.51,2.3,,2.99,,,,,,0.13,0.2,0.14,,0.13,1,J Lohmann; PA Schroeder; HC Nuerk�,2018,Frontiers in��,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fpsyg.2018.00622/abstract,https://scholar.google.com/scholar?cites=11702033105816953080&as_sdt=2005&sciodt=0;5&hl=en,170,43628,,,,,,,,,1,1,0,4,1,YES,Learning,,-0.14,-0.01,TRUE,5.9,-1.96,-2.8,-1.28,1.18,-0.49,-0.7,-1.28,3D Graphics - HMD VR
40,41,102,Self-transforming controllers for virtual reality first person shooters,"Virtual reality controller, shape-changing interfaces, authentic input device, first-person shooter",29,22,7,19,64,26.14,8.56,3D Graphics - HMD VR,Unknown,Interaction techniques,,Not Mentioned,Not Sure,,,1,Study 1,4,29,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,2,6,Controller,HTC Vive,No,29,,,,,,4.2,3.75,2.27,4.31,,0.68,1.44,0.94,1.2,,,,,,,4,A Krekhov; K Emmerich; P Bergmann�,2017,Proceedings of the��,dl.acm.org,https://dl.acm.org/citation.cfm?id=3116615,https://scholar.google.com/scholar?cites=144676039135128325&as_sdt=2005&sciodt=0;5&hl=en,193,43628,,,,,,,,,4,2,1,4,2,YES,Controller,,6.08,0.434285714,TRUE,6,3,-2.92,1.31,1.2,0.75,-0.73,1.31,3D Graphics - HMD VR
45,46,118,Cognitive processing and regulation modulates analogue trauma symptoms in a Virtual Reality paradigm,"Stress, Cognitive processing, Emotional response, Cognitive regulation, Appraisals, Emotion regulation, Intrusive memories, Analogue trauma, Virtual Reality",80,17,63,,,21.73,2.32,3D Graphics - HMD VR,Stereo sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,80,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,,,,2,6,Whole Experiment,Whole Study,No,80,,,,,,4.2,4.09,4.03,4.49,,0.71,0.5,0.74,1.35,,,,,,,2,T Schweizer; F Renner; D Sun; C Becker-Asano�,2019,Cognitive Therapy and��,Springer,https://link.springer.com/article/10.1007/s10608-018-9967-9,https://scholar.google.com/scholar?cites=10295130251723094259&as_sdt=2005&sciodt=0;5&hl=en,160,43628,HTML,,,,,,,,2,2,0,5,1,YES,Trauma,,14.48,1.034285714,TRUE,6,4.36,4.12,1.49,1.2,1.09,1.03,1.49,3D Graphics - HMD VR
67,68,170,Live Delivery of Neurosurgical Operating Theatre Experience in Virtual Reality,"Virtual reality, 360-degree camera, Stereoscopic VR, Neurosurgery",22,17,5,,,,,3D Graphics - HMD VR,Unknown,"Healthcare and clinical therapies,Social Science and psychology",,,Not Sure,,,1,Study 1,,22,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,,,,2,-33,Whole Experiment,Whole Study,No,22,,,,,,1.2,0.88,0.6,2,,1.07,1.31,1.04,0.81,,,,,,,0,M Salmimaa; J Kimmel; T Jokela…,2018,… Symposium Digest of …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/sdtp.12520,,261,43676,,,,,,,,,0,0,0,4,,DUPLICATED,,,11.92,0.851428571,TRUE,6,3.52,2.4,2,1.2,0.88,0.6,2,3D Graphics - HMD VR
91,94,227,Live delivery of neurosurgical operating theater experience in virtual reality,"Virtual reality, 360-degree camera, stereoscopic VR, neurosurgery",22,17,5,,,39,,3D Graphics - HMD VR,Unknown,"Healthcare and clinical therapies,Social Science and psychology",neurosurgery,Not Mentioned,Not Sure,,,1,Study 1,From 5 (some from 10 to 60 min),22,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,,,,2,-33,Whole Experiment,Whole Study,No,22,,,,,,1.2,0.88,0.6,2,,1.07,1.31,1.04,0.81,,,,,,,2,M Salmimaa; J Kimmel; T Jokela…,2018,Journal of the …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/jsid.636,https://scholar.google.com/scholar?cites=10563553625733567521&as_sdt=2005&sciodt=0;5&hl=en,563,43627,,,,,,,,,2,2,1,4,,YES,Neurosurgical,,11.92,0.851428571,TRUE,6,3.52,2.4,2,1.2,0.88,0.6,2,3D Graphics - HMD VR
101,106,249,Design of an immersive simulator for assisted power wheelchair driving,,9,,,11,38,,,Projection Display,No sound,"Design and visualization,Interaction techniques,Social Science and psychology",,Not Mentioned,Not Sure,,20,1,Study 1,,9,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,,,,2,6,Whole Experiment,Whole Study,No,9,,,,,,4.21,3.32,2.42,4.89,3.72,0.51,0.63,0.62,0.6,1.07,,,,,,13,L Devigne; M Babel; F Nouviale…,2017,2017 International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8009379/,https://scholar.google.com/scholar?cites=10980786202114750286&as_sdt=2005&sciodt=0;5&hl=en,9,43676,,,,,,,,,13,6.5,3,,,YES,Simulator,,10.08,0.72,TRUE,6.05,1.28,-2.32,1.89,1.21,0.32,-0.58,1.89,Projection Display
5,5,17,A dose of reality: Overcoming usability challenges in vr head-mounted displays,"Virtual Reality, Augmented Virtuality, Engagement",28,,,,,,,3D Graphics - HMD VR,Unknown,Other,Engagement,Not Mentioned,Not Sure,,,3,Study 3,,12,11,1,,,27.8,4.76,within-subject,each component,/Mean/SD/,Other,Unknown,No,Friedman test,Wilcoxon's tests,,1,6,Engagement,Baseline,No,12,,,,,,4.23,3.92,3.25,4.5,,0.9,1.3,0.81,0.91,,,,,,,71,M McGill; D Boland; R Murray-Smith�,2015,Proceedings of the 33rd��,dl.acm.org,https://dl.acm.org/citation.cfm?id=2702382,https://scholar.google.com/scholar?cites=4358646427119301496&as_sdt=2005&sciodt=0;5&hl=en,155,43628,,,,,,,,,71,17.75,18,4,4,YES,Engagement,,10.83,0.773571429,TRUE,6.15,3.68,1,1.5,1.23,0.92,0.25,1.5,3D Graphics - HMD VR
57,58,145,Within-and between-session prefrontal cortex response to virtual reality exposure therapy for acrophobia,"VRET, prefrontal cortex, fNIRS, phobia, virtual reality, anxiety",13,,,,,42.3,16.57,Projection Display,Unknown,"Healthcare and clinical therapies,Social Science and psychology",Exposure Therapy,Not Mentioned,Not Sure,,,1,Study 1,50,13,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Correlation analysis,,,2,17,Whole Experiment,Whole Study,No,13,,,,,,5.29,3.96,3.96,5.38,4.43,0.93,1.27,1.28,0.96,1.02,,,,,,1,A Landowska; D Roberts; P Eachus�,2018,Frontiers in human��,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6221970/,https://scholar.google.com/scholar?cites=10200413578083259654&as_sdt=2005&sciodt=0;5&hl=en,301,43628,HTML,,,,,,,,1,1,0,4,1,YES,Exposure Therapy,Unknown Scale,6.02,0.43,TRUE,6.45,-0.16,-0.16,1.38,1.29,-0.04,-0.04,1.38,Projection Display
56,57,144,Heading computation in the human retrosplenial complex during full-body rotation,,20,9,11,20,46,30.25,7.68,"3D Graphics - Monoscopic,3D Graphics - HMD VR",Unknown,"Interaction techniques,Social Science and psychology",Spatial orientation,Not Mentioned,Not Sure,,,1,Study 1,,20,,,,,,,within-subject,each component,/Mean/SD/,Other,"After,Unknown",No,,,,2,6,Condition,PhysR,No,20,,,,,,4.31,2.75,1.55,3.63,,1.36,1.56,1.06,1.71,,,,,,,1,K Gramann; FU Hohlefeld; L Gehrke; M Klug,2018,BioRxiv,biorxiv.org,https://www.biorxiv.org/content/10.1101/417972v1.abstract,https://scholar.google.com/scholar?cites=1668619713447027396&as_sdt=2005&sciodt=0;5&hl=en,286,43628,,,,,,,,,1,1,0,4,1,YES,,Preprint,-0.25,-0.017857143,TRUE,6.55,-1,-5.8,0.63,1.31,-0.25,-1.45,0.63,3D Graphics - HMD VR
70,71,176,Evaluating the Effects of Realistic Communication Disruptions in VR Training for Aerial Firefighting,"Virtual Reality, Simulation, Radio communications, Emergency services, Aerial firefighting",25,22,3,,,,,3D Graphics - Monoscopic,Surround sound,Education and training,,Not Mentioned,Not Sure,,,1,Study 1,,25,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,17,Whole Experiment,Whole Study,No,25,,,,,,5.31,4.6,3.1,5.72,4.5,0.864,1.53,0.51,1.021,0.7,,,,,,0,RMS Clifford; S Hoermann; N Marcadet�,2018,��on Virtual Worlds��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8493423/,,277,43628,,,,,,,,,0,0,0,4,1,YES,Training,,7,0.5,TRUE,6.55,2.4,-3.6,1.72,1.31,0.6,-0.9,1.72,3D Graphics - Monoscopic
103,108,256,Evaluating the effects of realistic communication disruptions in VR training for aerial firefighting,"Virtual Reality, Simulation, Radio communications, Emergency services, Aerial firefighting",25,23,2,,,,,Projection Display,Surround sound,"Education and training,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,25,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,17,Whole Experiment,Whole Study,No,25,,,,,,5.31,4.6,3.1,5.72,4.5,0.864,1.53,0.51,1.021,0.7,,,,,,1,RMS Clifford; S Hoermann; N Marcadet…,2018,… on Virtual Worlds …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8493423/,https://scholar.google.com/scholar?cites=4691108702291629978&as_sdt=2005&sciodt=0;5&hl=en,15,43676,,,,,,,,,1,1,0,,,Yes,Training,,7,0.5,TRUE,6.55,2.4,-3.6,1.72,1.31,0.6,-0.9,1.72,Projection Display
120,128,304,"'Keep Your Eyes on the Road, Kid!': Exploring the Potential of Virtual Reality Environments to Teach Children to Keep Their Attention While Biking",,11,6,5,22,27,23.8,,3D Graphics - HMD VR,Unknown,"Education and training,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,11,,,,,,,within-subject,each component,/Mean//,Other,After,No,,,,2,6,Whole Experiment,Whole Study,No,11,,,,,,4.32,4.69,2.93,4.82,,,,,,,,,,,,1,P Gagelas,2018,,essay.utwente.nl,https://essay.utwente.nl/75561/,https://scholar.google.com/scholar?cites=18428299114876641027&as_sdt=2005&sciodt=0;5&hl=en,420,43676,,,,,,,,,1,1,1,1,,YES,Attention,,13.08,0.934285714,TRUE,6.6,6.76,-0.28,1.82,1.32,1.69,-0.07,1.82,3D Graphics - HMD VR
60,61,154,"Presence, Behavioural Realism and Performances in Driving Simulation","virtual reality, driving simulation, presence, autonomous behaviour, user experience, performance evaluation",36,26,10,,,31,,3D Graphics - Monoscopic,Unknown,"Education and training,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,36,,,,,,,within-subject,each component,/Mean//,Other,After,No,,,,2,-33,Whole Experiment,Whole Study,No,36,,,,,,1.344,0.257,0.097,1.111,,,,,,,,,,,,1,N Pallamin; C Bossard,2016,IFAC-PapersOnLine,Elsevier,https://www.sciencedirect.com/science/article/pii/S2405896316321917,https://scholar.google.com/scholar?cites=17926648975972794852&as_sdt=2005&sciodt=0;5&hl=en,39,43628,,,,,,,,,1,0.33,1,2,3,YES,Simulation,,8.136,0.581142857,TRUE,6.72,1.028,0.388,1.111,1.344,0.257,0.097,1.111,3D Graphics - Monoscopic
55,56,140,Obstacle Avoidance Method in Real Space for Virtual Reality Immersion,"Virtual Reality, immersive feeling, walking assistance",17,16,1,22,25,,,3D Graphics - HMD VR,Unknown,"Design and visualization,Interaction techniques",,Not Mentioned,Not Sure,,,1,Study 1,,17,,,,,,,within-subject,each component,/Mean//Other,Chart,After,No,Friedman-test; Wilcoxon signed rank,,,2,6,Condition,Normal play,No,17,,,,,,4.36,3.78,2.32,4.72,,,,,,,1.19,2.13,1.63,1,,1,K Kanamori; N Sakata; T Tominaga�,2018,��on Mixed and��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8613753/,https://scholar.google.com/scholar?cites=17339562296554789106&as_sdt=2005&sciodt=0;5&hl=en,285,43628,,,,,,,,,1,1,0,4,1,YES,Obstacle Avoidance,Mean(IQR),7.2,0.514285714,TRUE,6.8,3.12,-2.72,1.72,1.36,0.78,-0.68,1.72,3D Graphics - HMD VR
61,62,157,Head turn scaling below the threshold of perception in immersive virtual environments,"presence, perception, head tracking manipulation, empirical study, virtual reality, immersive virtual environments",13,12,1,19,45,30.31,8.43,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,,German,Not Sure,,,1,Study 1,,13,,,,,,,within-subject,each component,/Mean/SD/,Other,Unknown,No,"ANOVA,Shapiro-Wilk-Test; Bravais-Pearson-correlation",,,2,6,Scaling factor,Boosting,No,13,,,,,49.69,4.38,3.21,2.81,3.69,,0.93,1.14,1.06,1.7,7.33,,,,,,1,M Westhoven; D Paul; T Alexander,2016,��of the 22nd ACM Conference on��,dl.acm.org,https://dl.acm.org/citation.cfm?id=2993385,https://scholar.google.com/scholar?cites=18088468939950426299&as_sdt=2005&sciodt=0;5&hl=en,75,43628,,,,,,,,,1,0.33,0,3,3,YES,Perception,,7.69,0.549285714,TRUE,6.9,0.84,-0.76,0.69,1.38,0.21,-0.19,0.69,3D Graphics - HMD VR
5,5,19,A dose of reality: Overcoming usability challenges in vr head-mounted displays,"Virtual Reality, Augmented Virtuality, Engagement",28,,,,,,,3D Graphics - HMD VR,Unknown,Other,Engagement,Not Mentioned,Not Sure,,,3,Study 3,,12,11,1,,,27.8,4.76,within-subject,each component,/Mean/SD/,Other,Unknown,No,Friedman test,Wilcoxon's tests,,1,6,Engagement,Full engagement,No,12,,,,,,4.4,3.23,3,4.25,,0.74,1.21,1.26,1.29,,,,,,,71,M McGill; D Boland; R Murray-Smith�,2015,Proceedings of the 33rd��,dl.acm.org,https://dl.acm.org/citation.cfm?id=2702382,https://scholar.google.com/scholar?cites=4358646427119301496&as_sdt=2005&sciodt=0;5&hl=en,155,43628,,,,,,,,,71,17.75,18,4,4,YES,Engagement,,7.92,0.565714286,TRUE,7,0.92,0,1.25,1.4,0.23,0,1.25,3D Graphics - HMD VR
